algorithm,execution_time,success,board,N
simulated_annealing,0.020300865173339844,"(100.0, 0.01, 0.99, False)","[1, 0, 4, 5, 2, 3]",6
simulated_annealing,0.02053666114807129,"(100.0, 0.01, 0.99, False)","[0, 1, 4, 3, 2, 5]",6
simulated_annealing,0.021953821182250977,"(100.0, 0.01, 0.99, False)","[1, 3, 4, 0, 2, 5]",6
simulated_annealing,0.00859832763671875,"(100.0, 0.01, 0.99, False)","[3, 4, 5, 0, 2, 1]",6
simulated_annealing,0.006410360336303711,"(100.0, 0.01, 0.99, False)","[0, 1, 5, 3, 4, 2]",6
backtracking,0.0,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
simulated_annealing,0.004397153854370117,"(10.0, 0.01, 0.99, False)","[5, 4, 3, 0, 7, 6, 1, 2]",8
simulated_annealing,0.005281686782836914,"(10.0, 0.01, 0.99, False)","[7, 2, 6, 3, 4, 0, 5, 1]",8
simulated_annealing,0.01607370376586914,"(10.0, 0.01, 0.99, False)","[4, 6, 5, 2, 3, 7, 1, 0]",8
simulated_annealing,0.01044917106628418,"(10.0, 0.01, 0.99, False)","[3, 6, 1, 5, 2, 0, 7, 4]",8
simulated_annealing,0.009118080139160156,"(10.0, 0.01, 0.99, False)","[1, 4, 3, 7, 0, 6, 2, 5]",8
simulated_annealing,0.008585453033447266,"(10.0, 0.01, 0.99, False)","[3, 2, 1, 7, 6, 4, 5, 0]",8
simulated_annealing,0.009845495223999023,"(10.0, 0.01, 0.99, False)","[6, 2, 1, 4, 7, 0, 3, 5]",8
simulated_annealing,0.00611114501953125,"(10.0, 0.01, 0.99, False)","[1, 3, 2, 4, 6, 7, 5, 0]",8
neural_network,4.595561742782593,False,"[7, 0, 5, 5, 7, 6, 7, 7]",8,16,10000
genetic,0.025669097900390625,True,"[0, 6, 3, 5, 7, 1, 4, 2]",8,100,1000,0.5
genetic,0.05648922920227051,True,"[7, 1, 3, 0, 6, 4, 2, 5]",8,100,1000,0.5
genetic,0.02194976806640625,True,"[5, 1, 6, 0, 2, 4, 7, 3]",8,100,1000,0.5
genetic,0.007753133773803711,True,"[5, 1, 6, 0, 3, 7, 4, 2]",8,100,1000,0.5
genetic,0.013533592224121094,True,"[7, 3, 0, 2, 5, 1, 6, 4]",8,100,1000,0.5
genetic,0.09766077995300293,True,"[4, 2, 7, 3, 6, 0, 5, 1]",8,100,1000,0.5
genetic,0.004322528839111328,True,"[3, 0, 4, 7, 5, 2, 6, 1]",8,100,1000,0.5
genetic,0.023497581481933594,True,"[2, 4, 1, 7, 0, 6, 3, 5]",8,100,1000,0.5
genetic,0.01584029197692871,True,"[2, 4, 1, 7, 0, 6, 3, 5]",8,100,1000,0.5
genetic,0.00598907470703125,True,"[4, 1, 3, 5, 7, 2, 0, 6]",8,100,1000,0.5
genetic,0.040049076080322266,True,"[5, 3, 6, 0, 7, 1, 4, 2]",8,100,1000,0.5
genetic,0.020969390869140625,True,"[2, 5, 1, 6, 0, 3, 7, 4]",8,100,1000,0.5
genetic,0.013879537582397461,True,"[3, 0, 4, 7, 1, 6, 2, 5]",8,100,1000,0.5
genetic,0.1201014518737793,True,"[6, 3, 1, 4, 7, 0, 2, 5]",8,100,1000,0.5
genetic,0.016258716583251953,True,"[2, 5, 1, 6, 0, 3, 7, 4]",8,100,1000,0.5
genetic,0.023888349533081055,True,"[3, 7, 0, 4, 6, 1, 5, 2]",8,100,1000,0.5
genetic,0.02206730842590332,True,"[1, 3, 5, 7, 2, 0, 6, 4]",8,100,1000,0.5
genetic,0.020327329635620117,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8,100,1000,0.5
genetic,0.01778888702392578,True,"[2, 4, 1, 7, 0, 6, 3, 5]",8,100,1000,0.5
neural_network,4.647761821746826,False,"[2, 6, 7, 5, 1, 3, 0, 7]",8,16,10000
ant_colony,0.019298315048217773,True,"[5, 0, 4, 1, 7, 2, 6, 3]",8,100,1000,1,2,0.01,100.0
ant_colony,0.05616450309753418,True,"[2, 6, 1, 7, 4, 0, 3, 5]",8,100,1000,1,2,0.01,100.0
ant_colony,0.02124619483947754,True,"[2, 0, 6, 4, 7, 1, 3, 5]",8,100,1000,1,2,0.01,100.0
ant_colony,0.018129825592041016,True,"[1, 4, 6, 0, 2, 7, 5, 3]",8,100,1000,1,2,0.01,100.0
ant_colony,0.01811504364013672,True,"[6, 1, 3, 0, 7, 4, 2, 5]",8,100,1000,1,2,0.01,100.0
ant_colony,0.017789602279663086,True,"[1, 5, 0, 6, 3, 7, 2, 4]",8,100,1000,1,2,0.01,100.0
backtracking,0.004034996032714844,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
backtracking,0.0009968280792236328,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
backtracking,0.0015020370483398438,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
backtracking,0.0,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
backtracking,0.0,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
genetic,0.016503572463989258,True,"[3, 5, 7, 1, 6, 0, 2, 4]",8,100,1000,0.5
backtracking,0.0,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
genetic,0.03462529182434082,True,"[4, 2, 0, 6, 1, 7, 5, 3]",8,100,1000,0.5
backtracking,0.0,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
genetic,0.007998466491699219,True,"[3, 6, 4, 1, 5, 0, 2, 7]",8,100,1000,0.5
backtracking,0.0010890960693359375,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
ant_colony,0.06979918479919434,True,"[2, 6, 1, 7, 4, 0, 3, 5]",8,100,1000,1,2,0.01,100.0
ant_colony,0.02733922004699707,True,"[4, 6, 3, 0, 2, 7, 5, 1]",8,100,1000,1,2,0.01,100.0
ant_colony,0.02918720245361328,True,"[3, 1, 6, 4, 0, 7, 5, 2]",8,100,1000,1,2,0.01,100.0
ant_colony,0.01901841163635254,True,"[4, 1, 3, 5, 7, 2, 0, 6]",8,100,1000,1,2,0.01,100.0
genetic,0.02040386199951172,True,"[5, 3, 6, 0, 2, 4, 1, 7]",8,100,1000,0.5
backtracking,0.003051280975341797,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
genetic,0.07809615135192871,True,"[3, 0, 4, 7, 1, 6, 2, 5]",8,100,1000,0.5
ant_colony,0.023590087890625,True,"[2, 6, 1, 7, 5, 3, 0, 4]",8,100,1000,1,2,0.01,100.0
backtracking,0.0,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
genetic,0.04709029197692871,True,"[5, 3, 6, 0, 2, 4, 1, 7]",8,100,1000,0.5
ant_colony,0.01916813850402832,True,"[5, 3, 6, 0, 2, 4, 1, 7]",8,100,1000,1,2,0.01,100.0
backtracking,0.001295328140258789,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
genetic,0.04166436195373535,True,"[5, 7, 1, 3, 0, 6, 4, 2]",8,100,1000,0.5
ant_colony,0.019693374633789062,True,"[2, 7, 3, 6, 0, 5, 1, 4]",8,100,1000,1,2,0.01,100.0
ant_colony,0.019379138946533203,True,"[6, 3, 1, 7, 5, 0, 2, 4]",8,100,1000,1,2,0.01,100.0
ant_colony,0.01847982406616211,True,"[3, 7, 0, 4, 6, 1, 5, 2]",8,100,1000,1,2,0.01,100.0
ant_colony,0.0748147964477539,True,"[3, 5, 7, 1, 6, 0, 2, 4]",8,100,1000,1,2,0.01,100.0
ant_colony,0.01784515380859375,True,"[2, 4, 7, 3, 0, 6, 1, 5]",8,100,1000,1,2,0.01,100.0
ant_colony,0.021212100982666016,True,"[2, 5, 1, 6, 0, 3, 7, 4]",8,100,1000,1,2,0.01,100.0
ant_colony,0.10174059867858887,True,"[3, 5, 9, 1, 10, 4, 7, 0, 8, 6, 2]",11,100,1000,1,2,0.01,100.0
